layer, ipt, ipterr, norm, normerr, ff, fferr, mha, mhaerr
0, 0.9992200147471211, 0.021767462800924717, 0.0007800049653873856, 0.02176744928338277, nan, nan, nan, nan
1, 0.6162827116564736, 0.06806416904414583, 0.031165887457254942, 0.024537074869726998, 0.283810198757072, 0.0650366274859264, 0.0687412165534192, 0.02392466437255798
2, 0.4332410230124822, 0.07201698710290116, 0.08460290296717655, 0.03466930787141471, 0.36096004436023976, 0.07473984154427449, 0.12119603792313928, 0.0303395156990046
3, 0.30431298168868565, 0.07177574379486906, 0.0960544306555846, 0.033028523071569664, 0.44529973074168605, 0.0948246045548357, 0.15433286689393788, 0.033192921010330965
4, 0.21831338699365546, 0.06152689550446913, 0.12279230723672548, 0.030405293119044035, 0.47353567349160297, 0.09497692272981412, 0.1853586477846184, 0.040066001554207475
5, 0.16577428387661422, 0.054589342364159944, 0.1459995447904524, 0.03086206608667203, 0.4612049901558881, 0.09785317912226589, 0.22702119738882418, 0.0597894649227428
6, 0.11953296179066807, 0.044484361592147935, 0.1460701038467388, 0.03494994130878077, 0.46056357131925774, 0.0926769164297433, 0.2738333834901267, 0.0763720268183214
7, 0.08768905586669219, 0.034179624170878074, 0.13804465449035613, 0.03738978608512885, 0.4573314116662031, 0.08683446911520018, 0.31693489345598547, 0.0817236276771236
8, 0.05897054623895717, 0.02541318006614627, 0.12108677475687048, 0.043192502313629734, 0.49775027686241924, 0.0774229364711453, 0.3221924179477688, 0.06768306568000747
9, 0.033010750730144374, 0.0169634452367264, 0.09104451012062312, 0.03821698161937961, 0.5248297673185434, 0.0651372473378413, 0.3511149853274767, 0.04631804926384078
10, 0.02161973556773009, 0.011972867823506424, 0.10841352025277777, 0.037074071123226374, 0.4372500155183513, 0.07575376077407657, 0.43271674078374217, 0.05169503363078529
11, 0.015725605583149234, 0.008949580993276404, 0.10814443076685798, 0.037658839240271566, 0.3747445499943211, 0.08662882171940682, 0.5013854254804946, 0.07438796222153739
12, 0.0007674467585729597, 0.0015965282222857907, 0.022367908501582316, 0.010052113843302082, 0.6212011468768913, 0.059655975983225515, 0.35566350465552504, 0.05348686996302401

